task,model_label,arch,backend,seeds,repeats_per_seed,seed_0,seed_1,seed_2,mean,std,total_eps,total_successes
semantic_football_single_20260501_000827,act_sonic_football_0416__100000,act,sonic,3,20,0.0500,0.1500,0.1000,0.1000,0.0500,60,6
semantic_football_single_20260501_000827,diffusion_sonic_football_0416__100000,diffusion,sonic,3,20,0.4000,0.3000,0.2500,0.3167,0.0764,60,19
semantic_football_single_20260501_000827,mtp_sonic_football_0416__100000,mtp,sonic,3,20,0.0000,0.1500,0.0000,0.0500,0.0866,60,3
semantic_open_door_20260501_024927,act_sonic_opendoor_0421__100000,act,sonic,3,20,0.1000,0.1000,0.2000,0.1333,0.0577,60,8
semantic_open_door_20260501_024927,diffusion_sonic_opendoor_0421__100000,diffusion,sonic,3,20,0.1000,0.0500,0.1000,0.0833,0.0289,60,5
semantic_open_door_20260501_024927,mtp_sonic_opendoor_0421__100000,mtp,sonic,3,20,0.1500,0.1500,0.2000,0.1667,0.0289,60,10
semantic_pp_box_20260501_003935,act_sonic_ppbox_0421__100000,act,sonic,3,20,0.6500,0.8000,0.4500,0.6333,0.1756,60,38
semantic_pp_box_20260501_003935,diffusion_sonic_ppbox_0421__100000,diffusion,sonic,3,20,0.7000,0.5500,0.5000,0.5833,0.1041,60,35
semantic_pp_box_20260501_003935,mtp_sonic_ppbox_0421__100000,mtp,sonic,3,20,0.6500,0.4500,0.5500,0.5500,0.1000,60,33
semantic_sit_sofa_20260501_015005,act_sonic_sitsofa_0423__100000,act,sonic,3,20,0.3000,0.5500,0.2000,0.3500,0.1803,60,21
semantic_sit_sofa_20260501_015005,diffusion_sonic_sitsofa_0423__100000,diffusion,sonic,3,20,0.6000,0.4500,0.7000,0.5833,0.1258,60,35
semantic_sit_sofa_20260501_015005,mtp_sonic_sitsofa_0423__100000,mtp,sonic,3,20,0.1500,0.1000,0.1500,0.1333,0.0289,60,8
test1w_semantic_boxing_20260503_230754,act_sonic_boxing_0424__100000,act,sonic,3,20,0.5500,0.5000,0.5500,0.5333,0.0289,60,32
test1w_semantic_boxing_20260503_230754,diffusion_sonic_boxing_0424__100000,diffusion,sonic,3,20,0.8500,0.6500,0.7500,0.7500,0.1000,60,45
test1w_semantic_boxing_20260503_230754,mtp_sonic_boxing_0424__100000,mtp,sonic,3,20,0.5000,0.4500,0.3500,0.4333,0.0764,60,26
test1w_semantic_vision_navi_20260503_115436,act_sonic_visionnavi_0419__100000,act,sonic,3,20,0.2000,0.2000,0.1000,0.1667,0.0577,60,10
test1w_semantic_vision_navi_20260503_115436,diffusion_sonic_visionnavi_0419__100000,diffusion,sonic,3,20,0.3000,0.3000,0.3000,0.3000,0.0000,60,18
test1w_semantic_vision_navi_20260503_115436,mtp_sonic_visionnavi_0419__100000,mtp,sonic,3,20,0.2000,0.2500,0.2000,0.2167,0.0289,60,13
test1w_semantic_doubledesk_20260503_000613,act_sonic_doubledesk_0418__100000,act,sonic,3,20,0.1000,0.1000,0.4000,0.2000,0.1732,60,12
test1w_semantic_doubledesk_20260503_000613,diffusion_sonic_doubledesk_0418__100000,diffusion,sonic,3,20,0.0500,0.1000,0.0000,0.0500,0.0500,60,3
test1w_semantic_doubledesk_20260503_000613,mtp_sonic_doubledesk_0418__100000,mtp,sonic,3,20,0.1000,0.0500,0.1000,0.0833,0.0289,60,5

SUMMARY (aggregate by arch + HOI/HSI group)
arch,group,num_tasks,task_means,aggregate_mean,aggregate_std
act,HOI,3,0.1000 | 0.6333 | 0.2000,0.3111,0.2835
act,HSI,4,0.1333 | 0.3500 | 0.5333 | 0.1667,0.2958,0.1848
diffusion,HOI,3,0.3167 | 0.5833 | 0.0500,0.3167,0.2667
diffusion,HSI,4,0.0833 | 0.5833 | 0.7500 | 0.3000,0.4292,0.2961
mtp,HOI,3,0.0500 | 0.5500 | 0.0833,0.2278,0.2795
mtp,HSI,4,0.1667 | 0.1333 | 0.4333 | 0.2167,0.2375,0.1350
