task,model_label,arch,backend,seeds,repeats_per_seed,seed_0,seed_1,seed_2,mean,std,total_eps,total_successes
semantic_football_single_20260501_000854,act_twist2_football_0416__100000,act,twist2,3,20,0.0500,0.1500,0.0000,0.0667,0.0764,60,4
semantic_football_single_20260501_000854,diffusion_twist2_football_0416__100000,diffusion,twist2,3,20,0.5000,0.3000,0.5000,0.4333,0.1155,60,26
semantic_football_single_20260501_000854,mtp_twist2_football_0416__100000,mtp,twist2,3,20,0.3500,0.3000,0.3000,0.3167,0.0289,60,19
semantic_open_door_20260501_093208,act_twist2_opendoor_0421__100000,act,twist2,3,20,0.0500,0.0500,0.2500,0.1167,0.1155,60,7
semantic_open_door_20260501_093208,diffusion_twist2_opendoor_0421__100000,diffusion,twist2,3,20,0.4500,0.4000,0.4000,0.4167,0.0289,60,25
semantic_open_door_20260501_093208,mtp_twist2_opendoor_0421__100000,mtp,twist2,3,20,0.4500,0.4000,0.5500,0.4667,0.0764,60,28
semantic_pp_box_20260501_014935,act_twist2_ppbox_0421__100000,act,twist2,3,20,0.0500,0.0500,0.0000,0.0333,0.0289,60,2
semantic_pp_box_20260501_014935,diffusion_twist2_ppbox_0421__100000,diffusion,twist2,3,20,0.1000,0.2000,0.1500,0.1500,0.0500,60,9
semantic_pp_box_20260501_014935,mtp_twist2_ppbox_0421__100000,mtp,twist2,3,20,0.0000,0.0000,0.0000,0.0000,0.0000,60,0
test1w_semantic_boxing_20260503_232946,act_twist2_boxing_0424__100000,act,twist2,3,20,0.6500,0.4000,0.7000,0.5833,0.1607,60,35
test1w_semantic_boxing_20260503_232946,diffusion_twist2_boxing_0424__100000,diffusion,twist2,3,20,0.6500,0.5000,0.6500,0.6000,0.0866,60,36
test1w_semantic_boxing_20260503_232946,mtp_twist2_boxing_0424__100000,mtp,twist2,3,20,0.5000,0.5000,0.7000,0.5667,0.1155,60,34
test1w_semantic_doubledesk_20260503_014513,act_twist2_doubledesk_0418__100000,act,twist2,3,20,0.0000,0.0500,0.0500,0.0333,0.0289,60,2
test1w_semantic_doubledesk_20260503_014513,diffusion_twist2_doubledesk_0418__100000,diffusion,twist2,3,20,0.1500,0.2000,0.0000,0.1167,0.1041,60,7
test1w_semantic_doubledesk_20260503_014513,mtp_twist2_doubledesk_0418__100000,mtp,twist2,3,20,0.1500,0.0500,0.0500,0.0833,0.0577,60,5
test1w_semantic_vision_navi_20260504_111415,act_twist2_visionnavi_0419__100000,act,twist2,3,20,0.3000,0.1500,0.3500,0.2667,0.1041,60,16
test1w_semantic_vision_navi_20260504_111415,diffusion_twist2_visionnavi_0419__100000,diffusion,twist2,3,20,0.1000,0.4500,0.5500,0.3667,0.2363,60,22
test1w_semantic_vision_navi_20260504_111415,mtp_twist2_visionnavi_0419__100000,mtp,twist2,3,20,0.3000,0.2500,0.4500,0.3333,0.1041,60,20
semantic_sit_sofa_20260501_061610,act_twist2_sitsofa_0423__100000,act,twist2,3,20,0.1500,0.3500,0.5000,0.3333,0.1756,60,20
semantic_sit_sofa_20260501_061610,diffusion_twist2_sitsofa_0423__100000,diffusion,twist2,3,20,0.4000,0.5000,0.6000,0.5000,0.1000,60,30
semantic_sit_sofa_20260501_061610,mtp_twist2_sitsofa_0423__100000,mtp,twist2,3,20,0.6000,0.4000,0.3500,0.4500,0.1323,60,27

SUMMARY (aggregate by arch + HOI/HSI group)
arch,group,num_tasks,task_means,aggregate_mean,aggregate_std
act,HOI,3,0.0667 | 0.0333 | 0.0333,0.0444,0.0192
act,HSI,4,0.1167 | 0.5833 | 0.2667 | 0.3333,0.3250,0.1946
diffusion,HOI,3,0.4333 | 0.1500 | 0.1167,0.2333,0.1740
diffusion,HSI,4,0.4167 | 0.6000 | 0.3667 | 0.5000,0.4708,0.1022
mtp,HOI,3,0.3167 | 0.0000 | 0.0833,0.1333,0.1641
mtp,HSI,4,0.4667 | 0.5667 | 0.3333 | 0.4500,0.4542,0.0956
