task,model_label,arch,backend,seeds,repeats_per_seed,seed_0,seed_1,seed_2,mean,std,total_eps,total_successes
test1w_vision_boxing_20260502_045152,act_sonic_boxing_0424__100000,act,sonic,3,20,0.7500,0.1500,0.7000,0.5333,0.3329,60,32
test1w_vision_boxing_20260502_045152,diffusion_sonic_boxing_0424__100000,diffusion,sonic,3,20,0.8000,0.7000,0.8000,0.7667,0.0577,60,46
test1w_vision_boxing_20260502_045152,mtp_sonic_boxing_0424__100000,mtp,sonic,3,20,0.3000,0.1500,0.5000,0.3167,0.1756,60,19
test1w_vision_doubledesk_20260502_063511,act_sonic_doubledesk_0418__100000,act,sonic,3,20,0.3000,0.2000,0.2000,0.2333,0.0577,60,14
test1w_vision_doubledesk_20260502_063511,diffusion_sonic_doubledesk_0418__100000,diffusion,sonic,3,20,0.6000,0.5000,0.3000,0.4667,0.1528,60,28
test1w_vision_doubledesk_20260502_063511,mtp_sonic_doubledesk_0418__100000,mtp,sonic,3,20,0.3000,0.2500,0.3500,0.3000,0.0500,60,18
test1w_vision_football_single_20260502_033747,act_sonic_football_0416__100000,act,sonic,3,20,0.0000,0.0500,0.0000,0.0167,0.0289,60,1
test1w_vision_football_single_20260502_033747,diffusion_sonic_football_0416__100000,diffusion,sonic,3,20,0.3500,0.3500,0.2000,0.3000,0.0866,60,18
test1w_vision_football_single_20260502_033747,mtp_sonic_football_0416__100000,mtp,sonic,3,20,0.2500,0.1000,0.0500,0.1333,0.1041,60,8
test1w_vision_open_door_20260503_210647,act_sonic_opendoor_0421__100000,act,sonic,3,20,0.0000,0.0000,0.0500,0.0167,0.0289,60,1
test1w_vision_open_door_20260503_210647,diffusion_sonic_opendoor_0421__100000,diffusion,sonic,3,20,0.2000,0.1500,0.1500,0.1667,0.0289,60,10
test1w_vision_open_door_20260503_210647,mtp_sonic_opendoor_0421__100000,mtp,sonic,3,20,0.4000,0.4000,0.3500,0.3833,0.0289,60,23
test1w_vision_pp_box_20260502_040920,act_sonic_ppbox_0421__100000,act,sonic,3,20,0.6500,0.7000,0.6500,0.6667,0.0289,60,40
test1w_vision_pp_box_20260502_040920,diffusion_sonic_ppbox_0421__100000,diffusion,sonic,3,20,0.7500,0.7500,0.8500,0.7833,0.0577,60,47
test1w_vision_pp_box_20260502_040920,mtp_sonic_ppbox_0421__100000,mtp,sonic,3,20,0.6000,0.7500,0.6000,0.6500,0.0866,60,39
test1w_vision_sit_sofa_20260502_051821,act_sonic_sitsofa_0423__100000,act,sonic,3,20,0.5500,0.5500,0.7000,0.6000,0.0866,60,36
test1w_vision_sit_sofa_20260502_051821,diffusion_sonic_sitsofa_0423__100000,diffusion,sonic,3,20,0.6000,0.7500,0.6500,0.6667,0.0764,60,40
test1w_vision_sit_sofa_20260502_051821,mtp_sonic_sitsofa_0423__100000,mtp,sonic,3,20,0.1500,0.2000,0.2000,0.1833,0.0289,60,11
test1w_vision_vision_navi_20260503_214739,act_sonic_visionnavi_0419__100000,act,sonic,3,20,0.1500,0.1000,0.4500,0.2333,0.1893,60,14
test1w_vision_vision_navi_20260503_214739,diffusion_sonic_visionnavi_0419__100000,diffusion,sonic,3,20,0.4000,0.5000,0.4500,0.4500,0.0500,60,27
test1w_vision_vision_navi_20260503_214739,mtp_sonic_visionnavi_0419__100000,mtp,sonic,3,20,0.1000,0.1500,0.1500,0.1333,0.0289,60,8

SUMMARY (aggregate by arch + HOI/HSI group)
arch,group,num_tasks,task_means,aggregate_mean,aggregate_std
act,HOI,3,0.2333 | 0.0167 | 0.6667,0.3056,0.3310
act,HSI,4,0.5333 | 0.0167 | 0.6000 | 0.2333,0.3458,0.2713
diffusion,HOI,3,0.4667 | 0.3000 | 0.7833,0.5167,0.2455
diffusion,HSI,4,0.7667 | 0.1667 | 0.6667 | 0.4500,0.5125,0.2658
mtp,HOI,3,0.3000 | 0.1333 | 0.6500,0.3611,0.2637
mtp,HSI,4,0.3167 | 0.3833 | 0.1833 | 0.1333,0.2542,0.1158
