task,model_label,arch,backend,seeds,repeats_per_seed,seed_0,seed_1,seed_2,mean,std,total_eps,total_successes
test1w_vision_boxing_20260503_175122,act_twist2_boxing_0424__100000,act,twist2,3,20,0.7000,0.5000,0.7000,0.6333,0.1155,60,38
test1w_vision_boxing_20260503_175122,diffusion_twist2_boxing_0424__100000,diffusion,twist2,3,20,0.5500,0.3500,0.6500,0.5167,0.1528,60,31
test1w_vision_boxing_20260503_175122,mtp_twist2_boxing_0424__100000,mtp,twist2,3,20,0.4000,0.4000,0.4000,0.4000,0.0000,60,24
test1w_vision_doubledesk_20260503_144836,act_twist2_doubledesk_0418__100000,act,twist2,3,20,0.1000,0.1500,0.0500,0.1000,0.0500,60,6
test1w_vision_doubledesk_20260503_144836,diffusion_twist2_doubledesk_0418__100000,diffusion,twist2,3,20,0.0000,0.2000,0.0500,0.0833,0.1041,60,5
test1w_vision_doubledesk_20260503_144836,mtp_twist2_doubledesk_0418__100000,mtp,twist2,3,20,0.0500,0.1000,0.1500,0.1000,0.0500,60,6
test1w_vision_football_single_20260502_023836,act_twist2_football_0416__100000,act,twist2,3,20,0.1000,0.1500,0.1500,0.1333,0.0289,60,8
test1w_vision_football_single_20260502_023836,diffusion_twist2_football_0416__100000,diffusion,twist2,3,20,0.5000,0.0000,0.4500,0.3167,0.2754,60,19
test1w_vision_football_single_20260502_023836,mtp_twist2_football_0416__100000,mtp,twist2,3,20,0.3000,0.3000,0.3000,0.3000,0.0000,60,18
test1w_vision_open_door_20260503_124305,act_twist2_opendoor_0421__100000,act,twist2,3,20,0.0000,0.1000,0.1000,0.0667,0.0577,60,4
test1w_vision_open_door_20260503_124305,diffusion_twist2_opendoor_0421__100000,diffusion,twist2,3,20,0.6000,0.3000,0.3500,0.4167,0.1607,60,25
test1w_vision_open_door_20260503_124305,mtp_twist2_opendoor_0421__100000,mtp,twist2,3,20,0.6000,0.6000,0.5000,0.5667,0.0577,60,34
test1w_vision_pp_box_20260502_173116,act_twist2_ppbox_0421__100000,act,twist2,3,20,0.3000,0.3500,0.5500,0.4000,0.1323,60,24
test1w_vision_pp_box_20260502_173116,diffusion_twist2_ppbox_0421__100000,diffusion,twist2,3,20,0.2500,0.7000,0.4000,0.4500,0.2291,60,27
test1w_vision_pp_box_20260502_173116,mtp_twist2_ppbox_0421__100000,mtp,twist2,3,20,0.1500,0.2500,0.2000,0.2000,0.0500,60,12
test1w_vision_sit_sofa_20260503_191124,act_twist2_sitsofa_0423__100000,act,twist2,3,20,0.3500,0.4500,0.2000,0.3333,0.1258,60,20
test1w_vision_sit_sofa_20260503_191124,diffusion_twist2_sitsofa_0423__100000,diffusion,twist2,3,20,0.6500,0.5000,0.7000,0.6167,0.1041,60,37
test1w_vision_sit_sofa_20260503_191124,mtp_twist2_sitsofa_0423__100000,mtp,twist2,3,20,0.4000,0.3500,0.4000,0.3833,0.0289,60,23
test1w_vision_vision_navi_20260502_233953,act_twist2_visionnavi_0419__100000,act,twist2,3,20,0.0500,0.4500,0.3500,0.2833,0.2082,60,17
test1w_vision_vision_navi_20260502_233953,diffusion_twist2_visionnavi_0419__100000,diffusion,twist2,3,20,0.1500,0.0500,0.3000,0.1667,0.1258,60,10
test1w_vision_vision_navi_20260502_233953,mtp_twist2_visionnavi_0419__100000,mtp,twist2,3,20,0.0000,0.2500,0.1500,0.1333,0.1258,60,8

SUMMARY (aggregate by arch + HOI/HSI group)
arch,group,num_tasks,task_means,aggregate_mean,aggregate_std
act,HOI,3,0.1000 | 0.1333 | 0.4000,0.2111,0.1644
act,HSI,4,0.6333 | 0.0667 | 0.3333 | 0.2833,0.3292,0.2335
diffusion,HOI,3,0.0833 | 0.3167 | 0.4500,0.2833,0.1856
diffusion,HSI,4,0.5167 | 0.4167 | 0.6167 | 0.1667,0.4292,0.1931
mtp,HOI,3,0.1000 | 0.3000 | 0.2000,0.2000,0.1000
mtp,HSI,4,0.4000 | 0.5667 | 0.3833 | 0.1333,0.3708,0.1787
